"","Inc","Capital","Hours","Age","Industry","Education","Marital","Occupation"
"18688",">$50K",5341,21,74,"Private","Bach","Married","Trades"
"18689",">$50K",0,58,29,"Private","High School","Divorced","Trades"
"18690",">$50K",0,34,66,"Private","High School","Married","Trades"
"18691",">$50K",0,59,55,"Private","Bach","Married","Agricultural"
"18692","<=$50K",0,37,22,"Private","Bach","Never Married","Trades"
"18693","<=$50K",0,25,67,"Self-Emp","Bach","Married","Management"
"18694",">$50K",0,30,41,"Private","Bach","Married","Specialist"
"18695","<=$50K",0,32,27,"Private","Bach","Never Married","Agricultural"
"18696","<=$50K",0,24,69,"Private","Bach","Married","Trades"
"18697",">$50K",0,59,60,"Private","Min","Never Married","Admin"
"18698","<=$50K",0,13,76,"Self-Emp","High School","Never Married","Specialist"
"18699","<=$50K",0,40,29,"Govt","Bach","Married","Admin"
"18700",">$50K",0,40,36,"Private","High School","Never Married","Management"
"18701",">$50K",818,49,61,"Govt","Bach","Married","Admin"
"18702",">$50K",0,43,59,"Private","Min","Married","Management"
"18703","<=$50K",710,1,84,"Private","Bach","Divorced","Admin"
"18704","<=$50K",0,47,27,"Private","Min","Never Married","Management"
"18705","<=$50K",0,17,73,"Govt","Bach","Never Married","Agricultural"
"18706",">$50K",0,52,29,"Govt","High School","Never Married","Agricultural"
"18707","<=$50K",0,0,85,"Private","Bach","Married","Admin"
"18708",">$50K",0,50,61,"Private","Min","Married","Agricultural"
"18709",">$50K",0,55,57,"Private","Master","Married","Trades"
"18710",">$50K",0,32,61,"Private","Bach","Married","Trades"
"18711","<=$50K",0,22,65,"Private","Bach","Never Married","Management"
"18712","<=$50K",0,6,81,"Private","Bach","Never Married","Trades"
"18713","<=$50K",0,30,23,"Private","High School","Divorced","Trades"
"18714",">$50K",1302,31,39,"Private","Bach","Divorced","Specialist"
"18715","<=$50K",0,22,68,"Private","Min","Married","Agricultural"
"18716",">$50K",0,39,47,"Private","High School","Married","Specialist"
"18717",">$50K",4970,51,37,"Private","Min","Married","Trades"
"18718",">$50K",2547,45,63,"Private","High School","Married","Admin"
"18719",">$50K",0,30,62,"Private","Min","Married","Agricultural"
"18720","<=$50K",0,13,70,"Private","Bach","Married","Agricultural"
"18721",">$50K",0,50,46,"Govt","High School","Never Married","Management"
"18722",">$50K",0,35,67,"Private","High School","Never Married","Admin"
"18723","<=$50K",0,34,23,"Private","Bach","Divorced","Specialist"
"18724",">$50K",0,40,63,"Private","Min","Married","Specialist"
"18725","<=$50K",0,30,30,"Private","Bach","Never Married","Agricultural"
"18726",">$50K",0,56,40,"Private","Bach","Married","Trades"
"18727","<=$50K",0,24,45,"Private","Master","Married","Management"
"18728",">$50K",0,27,45,"Private","High School","Married","Trades"
"18729","<=$50K",3540,9,81,"Private","Min","Married","Agricultural"
"18730",">$50K",0,48,55,"Private","High School","Never Married","Management"
"18731","<=$50K",0,7,81,"Self-Emp","Min","Never Married","Admin"
"18732","<=$50K",0,23,32,"Private","High School","Married","Trades"
"18733","<=$50K",0,35,33,"Private","Min","Married","Specialist"
"18734","<=$50K",0,25,75,"Self-Emp","Bach","Widowed","Agricultural"
"18735","<=$50K",0,7,81,"Govt","High School","Married","Management"
"18736","<=$50K",0,37,32,"Private","Min","Married","Specialist"
"18737","<=$50K",1668,11,76,"Private","Bach","Never Married","Specialist"
"18738","<=$50K",0,36,33,"Self-Emp","Master","Married","Agricultural"
"18739",">$50K",0,51,53,"Govt","High School","Divorced","Admin"
"18740",">$50K",0,72,24,"Private","Master","Married","Agricultural"
"18741","<=$50K",0,20,52,"Private","Min","Married","Management"
"18742","<=$50K",0,36,24,"Self-Emp","Bach","Married","Management"
"18743","<=$50K",0,28,24,"Self-Emp","Bach","Never Married","Management"
"18744","<=$50K",0,35,26,"Self-Emp","Min","Married","Agricultural"
"18745",">$50K",0,48,35,"Private","High School","Never Married","Specialist"
"18746","<=$50K",0,11,78,"Private","Bach","Never Married","Trades"
"18747","<=$50K",0,49,25,"Private","Min","Divorced","Agricultural"
"18748",">$50K",0,48,52,"Private","High School","Never Married","Trades"
"18749",">$50K",0,41,46,"Private","Min","Never Married","Agricultural"
"18750","<=$50K",0,9,77,"Private","Bach","Married","Specialist"
"18751","<=$50K",0,2,83,"Private","Min","Married","Agricultural"
"18752","<=$50K",3992,42,21,"Govt","Master","Married","Admin"
"18753","<=$50K",0,21,72,"Private","High School","Divorced","Specialist"
"18754",">$50K",0,53,49,"Govt","Bach","Divorced","Management"
"18755","<=$50K",0,34,24,"Govt","High School","Divorced","Specialist"
"18756",">$50K",0,32,46,"Private","Min","Never Married","Specialist"
"18757",">$50K",0,28,63,"Private","Min","Married","Admin"
"18758",">$50K",0,33,49,"Private","Bach","Married","Admin"
"18759",">$50K",0,70,54,"Private","Min","Never Married","Admin"
"18760",">$50K",0,67,63,"Private","Bach","Never Married","Management"
"18761",">$50K",0,30,49,"Private","High School","Married","Trades"
"18762",">$50K",0,55,46,"Govt","Min","Never Married","Specialist"
"18763",">$50K",0,36,55,"Govt","Bach","Divorced","Trades"
"18764",">$50K",0,35,65,"Private","High School","Married","Admin"
"18765","<=$50K",0,8,77,"Govt","Bach","Married","Management"
"18766","<=$50K",0,24,65,"Private","High School","Widowed","Agricultural"
"18767","<=$50K",0,17,73,"Private","Min","Never Married","Agricultural"
"18768",">$50K",0,53,36,"Govt","Master","Divorced","Specialist"
"18769","<=$50K",0,47,20,"Private","Bach","Married","Agricultural"
"18770",">$50K",0,45,41,"Private","High School","Married","Trades"
"18771","<=$50K",0,55,19,"Private","Bach","Married","Trades"
"18772","<=$50K",0,24,67,"Govt","High School","Never Married","Trades"
"18773","<=$50K",0,30,37,"Private","Bach","Married","Admin"
"18774",">$50K",0,39,64,"Govt","High School","Never Married","Management"
"18775","<=$50K",0,0,85,"Private","High School","Divorced","Management"
"18776",">$50K",0,54,55,"Private","Bach","Married","Agricultural"
"18777","<=$50K",0,11,79,"Private","Min","Married","Trades"
"18778","<=$50K",0,1,84,"Govt","Bach","Never Married","Specialist"
"18779",">$50K",0,27,61,"Private","High School","Never Married","Trades"
"18780",">$50K",0,44,42,"Private","Bach","Never Married","Agricultural"
"18781",">$50K",0,38,43,"Private","Bach","Divorced","Admin"
"18782",">$50K",0,32,58,"Private","Bach","Married","Agricultural"
"18783",">$50K",0,62,37,"Private","Master","Married","Specialist"
"18784",">$50K",0,41,31,"Private","High School","Married","Trades"
"18785",">$50K",0,26,61,"Private","High School","Never Married","Trades"
"18786","<=$50K",0,21,59,"Govt","High School","Never Married","Management"
"18787","<=$50K",0,20,76,"Private","Master","Married","Admin"
"18788","<=$50K",0,43,26,"Self-Emp","Bach","Divorced","Agricultural"
"18789",">$50K",0,44,44,"Private","High School","Divorced","Admin"
"18790",">$50K",0,34,57,"Private","Bach","Divorced","Trades"
"18791","<=$50K",0,3,83,"Private","High School","Never Married","Trades"
"18792",">$50K",0,47,46,"Private","High School","Divorced","Agricultural"
"18793",">$50K",0,36,37,"Govt","High School","Married","Specialist"
"18794","<=$50K",0,14,72,"Private","High School","Married","Management"
"18795","<=$50K",0,22,19,"Private","Min","Married","Admin"
"18796",">$50K",0,46,45,"Private","High School","Married","Trades"
"18797",">$50K",0,32,44,"Govt","Min","Divorced","Trades"
"18798",">$50K",0,31,53,"Private","Master","Divorced","Specialist"
"18799","<=$50K",0,2,81,"Other","Master","Married","Management"
"18800",">$50K",0,26,51,"Private","High School","Divorced","Admin"
"18801",">$50K",0,31,69,"Private","High School","Never Married","Management"
"18802","<=$50K",0,5,82,"Private","High School","Never Married","Trades"
"18803",">$50K",0,68,35,"Private","Bach","Never Married","Specialist"
"18804","<=$50K",0,49,20,"Private","Bach","Never Married","Management"
"18805","<=$50K",0,7,79,"Self-Emp","Min","Divorced","Management"
"18806",">$50K",0,51,56,"Private","High School","Never Married","Specialist"
"18807",">$50K",3041,42,56,"Govt","Bach","Divorced","Management"
"18808","<=$50K",0,33,36,"Self-Emp","Min","Never Married","Admin"
"18809","<=$50K",0,6,82,"Self-Emp","Master","Divorced","Admin"
"18810","<=$50K",0,13,77,"Private","Bach","Married","Agricultural"
"18811",">$50K",0,36,66,"Private","Bach","Never Married","Trades"
"18812",">$50K",0,48,53,"Private","Min","Never Married","Management"
"18813",">$50K",0,48,55,"Private","High School","Divorced","Agricultural"
"18814","<=$50K",0,2,81,"Private","High School","Never Married","Management"
"18815","<=$50K",0,57,21,"Self-Emp","Min","Divorced","Trades"
"18816",">$50K",0,48,39,"Private","Bach","Never Married","Admin"
"18817",">$50K",0,38,62,"Private","Bach","Married","Management"
"18818","<=$50K",0,22,59,"Self-Emp","High School","Never Married","Trades"
"18819","<=$50K",0,17,21,"Private","High School","Married","Admin"
"18820","<=$50K",0,4,83,"Self-Emp","Bach","Married","Trades"
"18821","<=$50K",0,49,26,"Private","High School","Never Married","Agricultural"
"18822",">$50K",0,48,47,"Private","Bach","Never Married","Agricultural"
"18823",">$50K",0,28,51,"Private","Bach","Divorced","Trades"
"18824","<=$50K",0,22,54,"Self-Emp","Min","Married","Agricultural"
"18825","<=$50K",0,26,69,"Private","Bach","Married","Agricultural"
"18826","<=$50K",0,5,81,"Private","Bach","Married","Agricultural"
"18827",">$50K",0,28,48,"Private","Bach","Widowed","Specialist"
"18828","<=$50K",0,1,84,"Private","Min","Never Married","Admin"
"18829","<=$50K",0,24,39,"Private","Bach","Never Married","Admin"
"18830","<=$50K",0,37,30,"Private","High School","Never Married","Management"
"18831","<=$50K",0,23,73,"Self-Emp","High School","Divorced","Specialist"
"18832",">$50K",0,29,50,"Private","Bach","Divorced","Admin"
"18833",">$50K",0,54,53,"Govt","Bach","Never Married","Trades"
"18834",">$50K",0,39,59,"Private","Min","Married","Specialist"
"18835",">$50K",0,37,68,"Private","High School","Never Married","Agricultural"
"18836",">$50K",0,43,70,"Private","Bach","Never Married","Agricultural"
"18837",">$50K",0,70,58,"Private","Bach","Divorced","Agricultural"
"18838",">$50K",0,67,42,"Private","Min","Never Married","Specialist"
"18839",">$50K",0,32,66,"Private","High School","Divorced","Agricultural"
"18840","<=$50K",0,16,30,"Self-Emp","High School","Married","Management"
"18841","<=$50K",0,2,83,"Self-Emp","Bach","Never Married","Trades"
"18842","<=$50K",0,6,80,"Private","High School","Never Married","Specialist"
"18843",">$50K",0,27,52,"Private","High School","Married","Trades"
"18844","<=$50K",0,4,82,"Private","Bach","Widowed","Management"
"18845",">$50K",528,48,67,"Private","Bach","Never Married","Admin"
"18846","<=$50K",4128,18,75,"Private","Master","Married","Admin"
"18847",">$50K",0,38,37,"Private","Min","Never Married","Management"
"18848",">$50K",0,39,49,"Private","Bach","Married","Management"
"18849","<=$50K",0,26,72,"Private","High School","Divorced","Trades"
"18850","<=$50K",0,24,29,"Private","Bach","Married","Specialist"
"18851","<=$50K",0,36,22,"Private","Bach","Never Married","Agricultural"
"18852","<=$50K",0,28,26,"Private","Master","Never Married","Trades"
"18853","<=$50K",0,4,82,"Private","Bach","Married","Management"
"18854",">$50K",0,69,57,"Private","Bach","Never Married","Admin"
"18855",">$50K",0,52,68,"Private","Bach","Married","Agricultural"
"18856","<=$50K",0,20,76,"Private","Bach","Married","Agricultural"
"18857","<=$50K",0,35,32,"Private","High School","Married","Management"
"18858",">$50K",0,36,39,"Private","Min","Married","Admin"
"18859","<=$50K",881,14,79,"Private","Min","Divorced","Admin"
"18860",">$50K",0,48,27,"Private","Bach","Never Married","Management"
"18861",">$50K",0,27,52,"Private","Bach","Never Married","Management"
"18862","<=$50K",0,23,29,"Govt","Master","Married","Specialist"
"18863",">$50K",0,34,50,"Private","Bach","Married","Trades"
"18864","<=$50K",0,32,32,"Self-Emp","Master","Never Married","Trades"
"18865","<=$50K",0,30,26,"Private","Bach","Married","Admin"
"18866","<=$50K",0,25,62,"Private","High School","Never Married","Management"
"18867","<=$50K",0,24,67,"Self-Emp","High School","Divorced","Admin"
"18868",">$50K",0,42,63,"Private","Master","Married","Agricultural"
"18869","<=$50K",0,24,67,"Self-Emp","Bach","Divorced","Management"
"18870",">$50K",1124,40,50,"Govt","High School","Never Married","Management"
"18871",">$50K",0,42,67,"Private","High School","Never Married","Trades"
"18872",">$50K",0,51,48,"Private","Min","Never Married","Admin"
"18873","<=$50K",0,11,77,"Private","High School","Divorced","Management"
"18874","<=$50K",0,21,72,"Private","High School","Married","Trades"
"18875","<=$50K",5298,11,77,"Private","Min","Married","Agricultural"
"18876","<=$50K",0,31,36,"Private","Min","Married","Admin"
"18877",">$50K",0,32,55,"Private","Bach","Married","Trades"
"18878","<=$50K",0,48,26,"Private","High School","Never Married","Specialist"
"18879","<=$50K",0,22,69,"Self-Emp","High School","Never Married","Trades"
"18880","<=$50K",0,10,78,"Govt","Min","Married","Agricultural"
"18881",">$50K",0,28,64,"Private","Bach","Never Married","Agricultural"
"18882","<=$50K",0,37,26,"Private","Bach","Divorced","Admin"
"18883","<=$50K",0,6,81,"Self-Emp","Min","Never Married","Trades"
"18884",">$50K",0,35,63,"Private","Bach","Never Married","Trades"
"18885",">$50K",0,33,70,"Govt","High School","Never Married","Management"
"18886","<=$50K",0,27,34,"Private","Master","Married","Management"
"18887",">$50K",0,53,49,"Private","Bach","Divorced","Management"
"18888",">$50K",0,45,65,"Private","Bach","Married","Management"
"18889","<=$50K",3120,3,81,"Private","Min","Never Married","Specialist"
"18890","<=$50K",0,3,84,"Private","Bach","Married","Agricultural"
"18891","<=$50K",4808,8,75,"Private","High School","Married","Trades"
"18892","<=$50K",0,11,75,"Private","Bach","Married","Trades"
"18893",">$50K",0,37,57,"Private","Master","Married","Agricultural"
"18894",">$50K",0,41,55,"Private","Bach","Never Married","Management"
"18895",">$50K",0,55,31,"Private","Bach","Never Married","Management"
"18896",">$50K",0,37,39,"Private","Min","Married","Agricultural"
"18897","<=$50K",0,7,82,"Private","Min","Divorced","Admin"
"18898","<=$50K",0,36,33,"Private","Bach","Married","Agricultural"
"18899","<=$50K",0,50,19,"Self-Emp","Min","Married","Management"
"18900",">$50K",0,69,49,"Govt","Master","Married","Agricultural"
"18901",">$50K",0,64,22,"Govt","Bach","Never Married","Specialist"
"18902","<=$50K",0,15,71,"Private","High School","Married","Agricultural"
"18903",">$50K",0,40,64,"Private","High School","Never Married","Specialist"
"18904",">$50K",5491,24,73,"Private","Bach","Never Married","Agricultural"
"18905",">$50K",0,38,33,"Private","High School","Married","Admin"
"18906",">$50K",0,46,66,"Private","Master","Married","Admin"
"18907","<=$50K",0,24,64,"Private","Bach","Married","Agricultural"
"18908",">$50K",0,39,35,"Govt","Bach","Never Married","Admin"
"18909","<=$50K",0,4,82,"Private","Bach","Married","Management"
"18910","<=$50K",0,28,25,"Self-Emp","Min","Divorced","Agricultural"
"18911",">$50K",0,36,38,"Private","Min","Divorced","Specialist"
"18912","<=$50K",0,22,23,"Private","Min","Never Married","Admin"
"18913",">$50K",0,49,63,"Govt","Bach","Never Married","Trades"
"18914",">$50K",0,46,62,"Private","High School","Married","Management"
"18915",">$50K",0,40,56,"Private","High School","Married","Management"
"18916","<=$50K",0,28,32,"Private","Bach","Married","Trades"
"18917",">$50K",0,61,48,"Govt","High School","Never Married","Trades"
"18918","<=$50K",0,31,25,"Self-Emp","High School","Married","Agricultural"
"18919","<=$50K",0,22,69,"Private","High School","Never Married","Management"
"18920","<=$50K",0,19,21,"Private","High School","Married","Agricultural"
"18921",">$50K",0,38,36,"Govt","High School","Divorced","Management"
"18922","<=$50K",0,29,41,"Private","Min","Divorced","Agricultural"
"18923","<=$50K",0,47,21,"Private","Bach","Never Married","Trades"
"18924",">$50K",0,31,48,"Govt","Bach","Married","Trades"
"18925","<=$50K",0,41,23,"Self-Emp","Master","Divorced","Management"
"18926","<=$50K",0,23,77,"Private","Min","Divorced","Specialist"
"18927",">$50K",0,33,45,"Private","Bach","Married","Agricultural"
"18928","<=$50K",0,31,25,"Private","Bach","Widowed","Specialist"
"18929","<=$50K",0,36,30,"Private","Min","Married","Admin"
"18930",">$50K",0,29,49,"Private","Bach","Married","Trades"
"18931","<=$50K",3430,12,75,"Self-Emp","High School","Never Married","Management"
"18932",">$50K",0,36,62,"Private","Bach","Married","Management"
"18933",">$50K",0,35,61,"Private","Bach","Never Married","Agricultural"
"18934","<=$50K",0,25,37,"Private","High School","Never Married","Trades"
"18935","<=$50K",0,25,34,"Private","Master","Married","Trades"
"18936","<=$50K",750,33,20,"Private","Min","Never Married","Admin"
"18937",">$50K",2489,46,58,"Private","High School","Married","Trades"
"18938",">$50K",0,58,49,"Private","High School","Never Married","Specialist"
"18939","<=$50K",0,12,75,"Private","Bach","Married","Admin"
"18940","<=$50K",0,19,42,"Private","High School","Married","Management"
"18941",">$50K",0,41,38,"Private","Bach","Married","Management"
"18942",">$50K",0,61,34,"Private","Master","Never Married","Management"
"18943",">$50K",0,40,54,"Private","Min","Divorced","Agricultural"
"18944",">$50K",0,60,26,"Private","Bach","Divorced","Admin"
"18945",">$50K",0,38,39,"Private","Master","Married","Specialist"
"18946","<=$50K",0,41,20,"Private","High School","Married","Management"
"18947",">$50K",2624,51,37,"Private","Min","Married","Management"
"18948","<=$50K",0,24,42,"Private","Min","Married","Admin"
"18949","<=$50K",0,21,22,"Private","Bach","Divorced","Trades"
"18950",">$50K",0,44,45,"Private","High School","Married","Management"
"18951","<=$50K",0,31,38,"Private","Bach","Never Married","Management"
"18952",">$50K",0,40,52,"Private","Min","Never Married","Specialist"
"18953","<=$50K",0,54,24,"Self-Emp","High School","Married","Management"
"18954","<=$50K",0,0,85,"Private","Bach","Married","Agricultural"
"18955","<=$50K",0,8,78,"Private","Bach","Married","Agricultural"
"18956","<=$50K",0,28,37,"Private","Bach","Divorced","Specialist"
"18957","<=$50K",0,1,84,"Private","High School","Divorced","Specialist"
"18958","<=$50K",0,35,27,"Other","Bach","Married","Management"
"18959","<=$50K",0,4,83,"Govt","High School","Married","Agricultural"
"18960","<=$50K",0,15,37,"Private","High School","Never Married","Management"
"18961","<=$50K",0,14,76,"Private","High School","Married","Agricultural"
"18962","<=$50K",0,14,66,"Govt","Bach","Married","Agricultural"
"18963",">$50K",0,42,50,"Private","High School","Never Married","Management"
"18964",">$50K",0,45,54,"Private","High School","Married","Management"
"18965",">$50K",0,35,46,"Govt","Bach","Married","Admin"
"18966","<=$50K",0,20,50,"Self-Emp","High School","Divorced","Management"
"18967","<=$50K",0,24,62,"Self-Emp","Min","Married","Management"
"18968",">$50K",0,63,23,"Private","Bach","Married","Admin"
"18969","<=$50K",0,22,38,"Private","High School","Never Married","Management"
"18970",">$50K",0,38,65,"Private","Min","Never Married","Management"
"18971",">$50K",0,36,37,"Private","Min","Never Married","Specialist"
"18972",">$50K",0,50,56,"Private","Bach","Widowed","Management"
"18973",">$50K",1918,26,62,"Private","Bach","Married","Admin"
"18974","<=$50K",0,21,51,"Self-Emp","Bach","Never Married","Trades"
"18975","<=$50K",0,0,85,"Govt","High School","Divorced","Admin"
"18976",">$50K",0,53,32,"Govt","Master","Married","Agricultural"
"18977",">$50K",0,56,48,"Private","Master","Never Married","Admin"
"18978","<=$50K",0,27,29,"Self-Emp","High School","Never Married","Agricultural"
"18979",">$50K",0,29,64,"Private","Bach","Married","Agricultural"
"18980","<=$50K",0,30,36,"Private","High School","Never Married","Management"
"18981","<=$50K",0,27,72,"Self-Emp","Bach","Married","Admin"
"18982","<=$50K",0,34,24,"Govt","High School","Divorced","Admin"
"18983","<=$50K",0,12,78,"Self-Emp","Bach","Married","Agricultural"
"18984",">$50K",0,66,54,"Private","Min","Never Married","Trades"
"18985","<=$50K",0,35,20,"Self-Emp","Bach","Married","Specialist"
"18986",">$50K",0,48,46,"Private","Min","Widowed","Management"
"18987","<=$50K",0,56,22,"Private","Min","Married","Specialist"
"18988","<=$50K",0,31,29,"Govt","Bach","Married","Specialist"
"18989",">$50K",1442,57,52,"Private","High School","Married","Trades"
"18990","<=$50K",0,31,25,"Self-Emp","Min","Divorced","Trades"
"18991",">$50K",0,42,65,"Private","Bach","Never Married","Agricultural"
"18992","<=$50K",0,41,29,"Govt","Bach","Divorced","Agricultural"
"18993",">$50K",0,31,56,"Private","Bach","Never Married","Admin"
"18994","<=$50K",0,27,20,"Govt","Bach","Divorced","Admin"
"18995",">$50K",0,33,53,"Private","Bach","Divorced","Admin"
"18996",">$50K",0,32,39,"Private","High School","Divorced","Admin"
"18997","<=$50K",875,18,37,"Govt","High School","Married","Specialist"
"18998",">$50K",0,48,56,"Private","High School","Never Married","Trades"
"18999","<=$50K",0,50,21,"Govt","Master","Never Married","Specialist"
"19000",">$50K",0,53,42,"Private","Bach","Married","Admin"
"19001","<=$50K",0,30,25,"Private","Bach","Never Married","Specialist"
"19002","<=$50K",0,2,84,"Private","High School","Divorced","Management"
"19003",">$50K",0,33,49,"Private","High School","Married","Admin"
"19004","<=$50K",0,27,43,"Private","High School","Married","Specialist"
"19005","<=$50K",0,30,25,"Private","Min","Married","Admin"
"19006","<=$50K",0,20,75,"Private","Min","Widowed","Trades"
"19007",">$50K",0,39,35,"Govt","High School","Married","Admin"
"19008","<=$50K",0,29,30,"Private","Bach","Married","Specialist"
"19009","<=$50K",0,22,47,"Private","Min","Divorced","Specialist"
"19010","<=$50K",0,38,23,"Govt","Min","Married","Specialist"
"19011","<=$50K",0,19,58,"Self-Emp","Min","Never Married","Agricultural"
"19012","<=$50K",0,22,39,"Private","Master","Married","Admin"
"19013",">$50K",0,65,43,"Private","Bach","Married","Admin"
"19014",">$50K",0,26,61,"Private","High School","Never Married","Specialist"
"19015","<=$50K",0,16,71,"Self-Emp","High School","Married","Management"
"19016","<=$50K",0,2,84,"Self-Emp","High School","Married","Agricultural"
"19017",">$50K",2795,32,65,"Private","Min","Never Married","Specialist"
"19018",">$50K",667,44,46,"Private","Bach","Divorced","Management"
"19019","<=$50K",0,0,85,"Self-Emp","Min","Divorced","Trades"
"19020","<=$50K",0,18,77,"Self-Emp","Bach","Married","Agricultural"
"19021","<=$50K",0,5,83,"Private","Bach","Married","Trades"
"19022",">$50K",0,53,45,"Private","Bach","Married","Specialist"
"19023",">$50K",0,48,53,"Private","Bach","Married","Management"
"19024",">$50K",0,41,48,"Private","Bach","Never Married","Management"
"19025",">$50K",0,44,48,"Govt","High School","Never Married","Specialist"
"19026","<=$50K",0,23,77,"Private","High School","Never Married","Admin"
"19027",">$50K",0,39,46,"Private","Bach","Divorced","Specialist"
"19028","<=$50K",0,33,33,"Self-Emp","Min","Married","Agricultural"
"19029",">$50K",4412,49,24,"Private","Min","Married","Trades"
"19030",">$50K",0,39,32,"Govt","High School","Divorced","Management"
"19031","<=$50K",0,17,70,"Private","High School","Never Married","Agricultural"
"19032",">$50K",0,48,50,"Private","Bach","Married","Admin"
"19033","<=$50K",0,24,23,"Self-Emp","Bach","Divorced","Management"
"19034",">$50K",2048,27,54,"Govt","Bach","Never Married","Specialist"
"19035","<=$50K",0,21,75,"Govt","Master","Never Married","Management"
"19036","<=$50K",0,6,82,"Self-Emp","Min","Divorced","Management"
"19037",">$50K",0,42,56,"Private","Min","Never Married","Management"
"19038","<=$50K",0,6,81,"Self-Emp","Bach","Divorced","Agricultural"
"19039",">$50K",0,60,48,"Govt","Bach","Married","Admin"
"19040","<=$50K",0,17,40,"Self-Emp","Bach","Never Married","Specialist"
"19041",">$50K",0,33,60,"Private","Bach","Married","Specialist"
"19042",">$50K",0,85,62,"Private","Bach","Divorced","Specialist"
"19043","<=$50K",0,2,83,"Self-Emp","Min","Married","Admin"
"19044","<=$50K",0,23,69,"Private","Bach","Divorced","Specialist"
"19045",">$50K",0,59,28,"Private","Min","Married","Management"
"19046","<=$50K",0,22,46,"Self-Emp","Min","Never Married","Admin"
"19047","<=$50K",0,30,76,"Private","High School","Married","Agricultural"
"19048","<=$50K",0,17,74,"Private","Bach","Never Married","Specialist"
"19049","<=$50K",0,16,76,"Self-Emp","Bach","Married","Management"
"19050","<=$50K",0,23,71,"Private","Bach","Married","Trades"
"19051","<=$50K",0,36,22,"Govt","Bach","Never Married","Management"
"19052",">$50K",0,39,58,"Private","High School","Divorced","Management"
"19053",">$50K",842,43,40,"Govt","High School","Never Married","Agricultural"
"19054","<=$50K",0,3,83,"Private","Min","Married","Trades"
"19055","<=$50K",0,3,82,"Private","Bach","Married","Trades"
"19056",">$50K",0,39,63,"Private","Bach","Married","Admin"
"19057","<=$50K",1950,3,80,"Govt","High School","Never Married","Agricultural"
"19058",">$50K",0,41,37,"Private","High School","Married","Specialist"
"19059","<=$50K",0,38,22,"Private","Bach","Married","Agricultural"
"19060",">$50K",0,53,31,"Govt","High School","Married","Trades"
"19061",">$50K",0,42,49,"Private","Bach","Divorced","Admin"
"19062","<=$50K",0,23,36,"Govt","Min","Married","Admin"
"19063","<=$50K",0,26,47,"Private","Bach","Married","Specialist"
"19064",">$50K",0,45,51,"Govt","Bach","Divorced","Trades"
"19065","<=$50K",0,7,78,"Private","High School","Never Married","Specialist"
"19066","<=$50K",0,53,21,"Private","Bach","Never Married","Agricultural"
"19067",">$50K",0,40,44,"Govt","Bach","Never Married","Admin"
"19068",">$50K",0,41,37,"Private","Bach","Married","Specialist"
"19069",">$50K",0,36,50,"Govt","Min","Divorced","Specialist"
"19070",">$50K",1857,28,69,"Private","Min","Married","Specialist"
"19071",">$50K",0,46,31,"Private","High School","Married","Trades"
"19072",">$50K",0,40,66,"Govt","Bach","Never Married","Admin"
"19073",">$50K",2243,21,60,"Private","High School","Divorced","Admin"
"19074","<=$50K",0,29,34,"Private","Bach","Never Married","Admin"
"19075","<=$50K",0,12,78,"Govt","High School","Never Married","Admin"
"19076",">$50K",0,45,61,"Private","Bach","Never Married","Specialist"
"19077","<=$50K",0,19,69,"Self-Emp","High School","Married","Trades"
"19078",">$50K",0,40,35,"Private","Bach","Never Married","Management"
"19079",">$50K",4094,41,53,"Private","Bach","Never Married","Trades"
"19080",">$50K",0,34,51,"Private","Min","Married","Agricultural"
"19081",">$50K",0,57,35,"Govt","Bach","Married","Management"
"19082","<=$50K",0,17,73,"Private","High School","Never Married","Management"
"19083",">$50K",0,49,49,"Private","Bach","Never Married","Trades"
"19084","<=$50K",0,8,78,"Self-Emp","Master","Never Married","Agricultural"
"19085","<=$50K",0,28,28,"Private","Bach","Married","Specialist"
"19086",">$50K",0,49,54,"Private","High School","Never Married","Management"
"19087","<=$50K",0,38,22,"Private","Min","Married","Trades"
"19088","<=$50K",0,3,82,"Private","Bach","Married","Agricultural"
"19089",">$50K",0,28,50,"Private","Min","Never Married","Admin"
"19090",">$50K",0,28,46,"Private","Bach","Never Married","Management"
"19091","<=$50K",0,26,69,"Self-Emp","Bach","Married","Agricultural"
"19092","<=$50K",0,20,28,"Other","Bach","Married","Specialist"
"19093",">$50K",0,49,51,"Private","Min","Married","Management"
"19094","<=$50K",0,24,73,"Self-Emp","High School","Married","Management"
"19095",">$50K",0,46,55,"Private","Bach","Married","Management"
"19096",">$50K",0,40,36,"Private","Min","Never Married","Agricultural"
"19097",">$50K",0,33,55,"Private","High School","Married","Admin"
"19098","<=$50K",0,26,47,"Private","Bach","Married","Specialist"
"19099","<=$50K",0,2,83,"Private","Bach","Never Married","Trades"
"19100","<=$50K",0,1,84,"Govt","High School","Never Married","Management"
"19101","<=$50K",0,7,79,"Private","Bach","Married","Trades"
"19102",">$50K",0,43,47,"Private","High School","Married","Specialist"
"19103",">$50K",0,51,56,"Private","Bach","Divorced","Specialist"
"19104","<=$50K",1349,21,45,"Private","Min","Never Married","Management"
"19105","<=$50K",1620,37,20,"Private","High School","Divorced","Trades"
"19106",">$50K",0,36,59,"Private","High School","Never Married","Trades"
"19107",">$50K",0,39,57,"Private","High School","Never Married","Agricultural"
"19108","<=$50K",0,42,25,"Private","Bach","Married","Specialist"
